OBJECTID,NAME,Shape_Length,Shape_Area,GIS_ID
1,Walker-Jones,7229.55047959268,2521478.95170187,dcps_332
2,Wheatley,6725.51329086816,2435857.00848495,dcps_335
3,Brookland,15226.0536012118,9702529.21119994,dcps_975
4,Browne,10215.1384664011,3954357.27267523,dcps_404
5,Columbia Heights,8056.31736089771,2123243.98329455,dcps_475
6,Deal,28158.8606182112,20558589.9087757,dcps_405
7,Eliot-Hine,8740.43592022176,4135609.15224115,dcps_407
8,Hardy,26807.5843486916,20411127.4753452,dcps_246
9,Hart,27943.68317975,20876115.7827228,dcps_413
10,Jefferson,22237.1435068501,18095901.7642328,dcps_415
11,Johnson,9923.2843719247,3888803.58045924,dcps_416
12,Kelly Miller,15108.8650213897,11000436.9377794,dcps_421
13,Kramer,13047.6312479508,6327894.76016036,dcps_417
14,MacFarland,16248.8074139278,10231990.0676038,-200002
15,McKinley,19950.6671304174,7787253.32760216,dcps_970
16,Shaw,14333.7219333444,6254843.60343109,-200001
17,New North,15546.9720478837,8245631.39734996,-200003
18,Oyster-Adams,8150.14416781818,1953350.43532987,dcps_949
19,School Without Walls @ Francis-Stevens,10139.962504462,4444431.85607335,dcps_409
20,Sousa,13929.8759186588,9045511.31586565,dcps_427
21,Stuart-Hobson,12838.9246679258,3387387.01725747,dcps_428
